#TYPE System.Collections.DictionaryEntry
"Name","Key","Value"
"THEFT-PETTY Theft Petty-Plain ","THEFT-PETTY Theft Petty-Plain ","328"
"SERVICE Illness Response ","SERVICE Illness Response ","162"
"SERVICE Injury Response ","SERVICE Injury Response ","143"
"SERVICE Suspicious Circumstances ","SERVICE Suspicious Circumstances ","73"
"PROPERTY Lost/Missing Property ","PROPERTY Lost/Missing Property ","70"
"ALCOHOL Alcohol/Drug Overdose ","ALCOHOL Alcohol/Drug Overdose ","64"
"TRAFFIC Traffic Collision Without Injuries ","TRAFFIC Traffic Collision Without Injuries ","63"
"PROPERTY Damaged Property ","PROPERTY Damaged Property ","58"
"PROPERTY Recovered Property Without a Crime ","PROPERTY Recovered Property Without a Crime ","52"
"THEFT-GRAND Theft Grand-Plain ","THEFT-GRAND Theft Grand-Plain ","45"
"DISTURBANCE Disturbing The Peace ","DISTURBANCE Disturbing The Peace ","42"
"BATTERY Battery ","BATTERY Battery ","32"
"BURGLARY-MOTOR VEHICLE Burglary-Motor Vehicle ","BURGLARY-MOTOR VEHICLE Burglary-Motor Vehicle ","30"
"VEHICLE CODE Hit & Run - Misdemeanor ","VEHICLE CODE Hit & Run - Misdemeanor ","27"
"ALCOHOL Drunk In Public ","ALCOHOL Drunk In Public ","26"
"ALARM RESPONSE Environmental Alarm ","ALARM RESPONSE Environmental Alarm ","25"
"SERVICE Commitment To Mental Health For 72 Hrs ","SERVICE Commitment To Mental Health For 72 Hrs ","24"
"WARRANT Warrant Arrest ","WARRANT Warrant Arrest ","20"
"SERVICE Welfare Check ","SERVICE Welfare Check ","17"
"TRESPASS Trespassing ","TRESPASS Trespassing ","17"
"TRAFFIC Traffic Collision-Bicycle ","TRAFFIC Traffic Collision-Bicycle ","17"
"VANDALISM Vandalism-Misdemeanor ","VANDALISM Vandalism-Misdemeanor ","15"
"SEX OFFENSE Sexual Battery ","SEX OFFENSE Sexual Battery ","13"
"THEFT-MOTOR VEHICLE Theft from Motor Vehicle ","THEFT-MOTOR VEHICLE Theft from Motor Vehicle ","13"
