#TYPE System.Collections.DictionaryEntry,,,
Name,Key,Value,
KECK HOSPITAL OF USC ,KECK HOSPITAL OF USC ,250,0.052290316
HEALTHCARE CENTER ,HEALTHCARE CENTER ,135,0.028236771
OUTSIDE USC AREA ,OUTSIDE USC AREA ,121,0.025308513
THE LORENZO APARTMENTS ,THE LORENZO APARTMENTS ,72,0.015059611
GENERAL WILLIAM LYON UNIVERSITY CENTER ,GENERAL WILLIAM LYON UNIVERSITY CENTER ,70,0.014641288
ENTRANCE GATE ,ENTRANCE GATE ,70,0.014641288
PARKING STRUCTURE A ,PARKING STRUCTURE A ,70,0.014641288
UNIVERSITY GATEWAY APARTMENTS ,UNIVERSITY GATEWAY APARTMENTS ,69,0.014432127
RONALD TUTOR CAMPUS CENTER ,RONALD TUTOR CAMPUS CENTER ,67,0.014013805
ROGER AND MICHELE DEDEAUX ENGEMANN STUDENT HEALTH CENTER ,ROGER AND MICHELE DEDEAUX ENGEMANN STUDENT HEALTH CENTER ,60,0.012549676
THOMAS & DOROTHY LEAVEY LIBRARY ,THOMAS & DOROTHY LEAVEY LIBRARY ,60,0.012549676
INTERNATIONALLY THEMED RESIDENTIAL COLLEGE ,INTERNATIONALLY THEMED RESIDENTIAL COLLEGE ,55,0.011503869
MARK TAPER HALL OF HUMANITIES ,MARK TAPER HALL OF HUMANITIES ,55,0.011503869
TROY HALL ,TROY HALL ,51,0.010667224
30TH ST ,30TH ST ,48,0.010039741
PARKING STRUCTURE D ,PARKING STRUCTURE D ,48,0.010039741
UNIVERSITY PARKING CENTER ,UNIVERSITY PARKING CENTER ,48,0.010039741
29TH ST ,29TH ST ,47,0.009830579
SEELEY G. MUDD BUILDING ,SEELEY G. MUDD BUILDING ,46,0.009621418
ELISABETH VON KLEINSMID MEMORIAL RESIDENCE HALL ,ELISABETH VON KLEINSMID MEMORIAL RESIDENCE HALL ,46,0.009621418
CENTURY APARTMENTS ,CENTURY APARTMENTS ,45,0.009412257
EXPOSITION BLVD. PARKING STRUCTURE ,EXPOSITION BLVD. PARKING STRUCTURE ,44,0.009203096
ELLENDALE PL ,ELLENDALE PL ,44,0.009203096
KENNETH NORRIS JR. CANCER HOSPITAL RESEARCH INSTIT ,KENNETH NORRIS JR. CANCER HOSPITAL RESEARCH INSTIT ,44,0.009203096
PARKSIDE RESIDENTIAL BUILDING ,PARKSIDE RESIDENTIAL BUILDING ,43,0.008993934
CARDINAL GARDENS ,CARDINAL GARDENS ,41,0.008575612
PERTUSATI UNIVERSITY BOOKSTORE ,PERTUSATI UNIVERSITY BOOKSTORE ,37,0.007738967
MENLO AV ,MENLO AV ,37,0.007738967
VON KLEINSMID CENTER FOR INTERNATIONAL & PUBLIC AF ,VON KLEINSMID CENTER FOR INTERNATIONAL & PUBLIC AF ,36,0.007529805
GRACE FORD SALVATORI HALL OF LETTERS ARTS & SCIENC ,GRACE FORD SALVATORI HALL OF LETTERS ARTS & SCIENC ,35,0.007320644
PHYSICAL EDUCATION BUILDING ,PHYSICAL EDUCATION BUILDING ,35,0.007320644
UPC PUBLIC SAFETY OFFICE ,UPC PUBLIC SAFETY OFFICE ,33,0.006902322
PARKING STRUCTURE C ,PARKING STRUCTURE C ,31,0.006483999
KECK HOSPITAL PARKING BLDG. ,KECK HOSPITAL PARKING BLDG. ,29,0.006065677
CECELE & MICHAEL BIRNKRANT RESIDENCE HALL ,CECELE & MICHAEL BIRNKRANT RESIDENCE HALL ,27,0.005647354
EILEEN & KENNETH T. NORRIS DENTAL SCIENCE CENTER ,EILEEN & KENNETH T. NORRIS DENTAL SCIENCE CENTER ,27,0.005647354
DEAN BARTLETT CROMWELL FIELD ,DEAN BARTLETT CROMWELL FIELD ,27,0.005647354
WEBB TOWER ,WEBB TOWER ,26,0.005438193
TROJAN RESIDENCE HALL ,TROJAN RESIDENCE HALL ,26,0.005438193
MARIANNE & J.DOUGLAS PARDEE TOWER ,MARIANNE & J.DOUGLAS PARDEE TOWER ,26,0.005438193
PORTLAND ST ,PORTLAND ST ,26,0.005438193
ORCHARD AV ,ORCHARD AV ,25,0.005229032
MAY ORMEROD HARRIS HALL QUINN WING & FISHER GALLER ,MAY ORMEROD HARRIS HALL QUINN WING & FISHER GALLER ,24,0.00501987
FLUOR TOWER ,FLUOR TOWER ,22,0.004601548
PARKSIDE APARTMENTS I ,PARKSIDE APARTMENTS I ,22,0.004601548
SCHOOL OF CINEMATIC ARTS ,SCHOOL OF CINEMATIC ARTS ,22,0.004601548
37TH PL ,37TH PL ,21,0.004392387
GEORGE FINLEY BOVARD ADMINISTRATION BUILDING ,GEORGE FINLEY BOVARD ADMINISTRATION BUILDING ,21,0.004392387
ANNENBERG HOUSE ,ANNENBERG HOUSE ,20,0.004183225
WAITE PHILLIPS HALL OF EDUCATION ,WAITE PHILLIPS HALL OF EDUCATION ,20,0.004183225
KAPRIELIAN HALL ,KAPRIELIAN HALL ,20,0.004183225
JOHN MCKAY CENTER ,JOHN MCKAY CENTER ,20,0.004183225
23RD ST ,23RD ST ,20,0.004183225
RAY & NADINE WATT HALL OF ARCHITECTURE ,RAY & NADINE WATT HALL OF ARCHITECTURE ,19,0.003974064
SCARFF ST ,SCARFF ST ,19,0.003974064
GALEN EVENT CENTER ,GALEN EVENT CENTER ,19,0.003974064
DAVID X. MARKS TOWER ,DAVID X. MARKS TOWER ,19,0.003974064
H. LESLIE HOFFMAN HALL OF BUSINESS ADMINISTRATION ,H. LESLIE HOFFMAN HALL OF BUSINESS ADMINISTRATION ,19,0.003974064
PARKING STRUCTUREA ,PARKING STRUCTUREA ,18,0.003764903
ADAMS BL ,ADAMS BL ,18,0.003764903
CENTENNIAL APARTMENTS ,CENTENNIAL APARTMENTS ,18,0.003764903
27TH ST ,27TH ST ,18,0.003764903
BRITTINGHAM INTRAMURAL FIELD ,BRITTINGHAM INTRAMURAL FIELD ,18,0.003764903
JILL & FRANK FERTITTA HALL ,JILL & FRANK FERTITTA HALL ,18,0.003764903
EDWARD L. DOHENY JR. MEMORIAL LIBRARY ,EDWARD L. DOHENY JR. MEMORIAL LIBRARY ,17,0.003555741
RONALD TUTOR HALL OF ENGINEERING ,RONALD TUTOR HALL OF ENGINEERING ,17,0.003555741
RADISSON MIDCITY HOTEL ,RADISSON MIDCITY HOTEL ,17,0.003555741
36TH PL ,36TH PL ,16,0.00334658
CENTER OF CAMPUS ,CENTER OF CAMPUS ,16,0.00334658
OLIN HALL OF ENGINEERING ,OLIN HALL OF ENGINEERING ,16,0.00334658
28TH ST ,28TH ST ,16,0.00334658
JAMES H. ZUMBERGE HALL OF SCIENCE ,JAMES H. ZUMBERGE HALL OF SCIENCE ,15,0.003137419
COLLEGE RESIDENCE HALL ,COLLEGE RESIDENCE HALL ,15,0.003137419
JEFFERSON BL & FIGUEROA ST ,JEFFERSON BL & FIGUEROA ST ,15,0.003137419
NOT GIVEN ,NOT GIVEN ,15,0.003137419
MCCARTHY QUAD ,MCCARTHY QUAD ,15,0.003137419
ANNENBERG SCHOOL FOR COMMUNICATION ,ANNENBERG SCHOOL FOR COMMUNICATION ,15,0.003137419
LAMBDA CHI ALPHA ,LAMBDA CHI ALPHA ,14,0.002928258
CAROL LITTLE BUILDING ,CAROL LITTLE BUILDING ,14,0.002928258
DELTA CHI ,DELTA CHI ,14,0.002928258
MAY ORMEROD HARRIS RESIDENCE HALL ,MAY ORMEROD HARRIS RESIDENCE HALL ,14,0.002928258
SIERRA APARTMENTS ,SIERRA APARTMENTS ,14,0.002928258
30TH ST & FIGUEROA ST ,30TH ST & FIGUEROA ST ,14,0.002928258
ELVON & MABEL MUSICK LAW BUILDING CENTER ,ELVON & MABEL MUSICK LAW BUILDING CENTER ,14,0.002928258
SEELEY WINTERSMITH MUDD MEMORIAL HALL OF PHILOSOPH ,SEELEY WINTERSMITH MUDD MEMORIAL HALL OF PHILOSOPH ,13,0.002719096
GWYNN WILSON STUDENT UNION ,GWYNN WILSON STUDENT UNION ,13,0.002719096
USC UNIVERSITY HOSPITAL NORRIS TOWER ,USC UNIVERSITY HOSPITAL NORRIS TOWER ,13,0.002719096
TUSCANY APARTMENTS ,TUSCANY APARTMENTS ,13,0.002719096
JEFFERSON BL & MCCLINTOCK AV ,JEFFERSON BL & MCCLINTOCK AV ,12,0.002509935
SIGMA NU ,SIGMA NU ,12,0.002509935
JANE HOFFMAN POPOVICH & J. KRISTOFFER POPOVICH HAL ,JANE HOFFMAN POPOVICH & J. KRISTOFFER POPOVICH HAL ,12,0.002509935
THE LAB ,THE LAB ,12,0.002509935
ALLAN HANCOCK FOUNDATION ,ALLAN HANCOCK FOUNDATION ,12,0.002509935
JEFFERSON BL & HOOVER ST ,JEFFERSON BL & HOOVER ST ,12,0.002509935
WEST 27TH PLACE APARTMENTS ,WEST 27TH PLACE APARTMENTS ,12,0.002509935
RALPHS SUPERMARKET ,RALPHS SUPERMARKET ,12,0.002509935
MCDONALDS ,MCDONALDS ,12,0.002509935
ICON PLAZA ,ICON PLAZA ,11,0.002300774
PI KAPPA ALPHA ,PI KAPPA ALPHA ,11,0.002300774
FRANK R. SEAVER SCIENCE CENTER ,FRANK R. SEAVER SCIENCE CENTER ,11,0.002300774
ROBERT ZEMECKIS CENTER ,ROBERT ZEMECKIS CENTER ,11,0.002300774
30TH ST & ORCHARD ST ,30TH ST & ORCHARD ST ,11,0.002300774
36TH PL & VERMONT AV ,36TH PL & VERMONT AV ,11,0.002300774
UNIVERSITY GARDENS ,UNIVERSITY GARDENS ,11,0.002300774
JEFFERSON BL & VERMONT AV ,JEFFERSON BL & VERMONT AV ,11,0.002300774
28TH ST & FIGUEROA ST ,28TH ST & FIGUEROA ST ,11,0.002300774
SOTO STREET BUILDING TWO ,SOTO STREET BUILDING TWO ,10,0.002091613
MONTGOMERY ROSS FISHER BUILDING SCHOOL OF SOCIAL W ,MONTGOMERY ROSS FISHER BUILDING SCHOOL OF SOCIAL W ,10,0.002091613
CHEZ RONNEE ,CHEZ RONNEE ,10,0.002091613
SAN PABLO PARKING STRUCTURE ,SAN PABLO PARKING STRUCTURE ,10,0.002091613
WILLARD KEITH ADMINISTRATION & MEDICAL FORUM BUILD ,WILLARD KEITH ADMINISTRATION & MEDICAL FORUM BUILD ,10,0.002091613
CHARLOTTE S. & DAVRE R. DAVIDSON CONTINUING EDUCAT ,CHARLOTTE S. & DAVRE R. DAVIDSON CONTINUING EDUCAT ,10,0.002091613
30TH ST & UNIVERSITY AV ,30TH ST & UNIVERSITY AV ,10,0.002091613
DOWNEY WY & MCCLINTOCK AV ,DOWNEY WY & MCCLINTOCK AV ,10,0.002091613
LA SORBONNE APARTMENTS ,LA SORBONNE APARTMENTS ,10,0.002091613
30TH ST & VERMONT AV ,30TH ST & VERMONT AV ,10,0.002091613
FRANK L. KING OLYMPIC HALL OF CHAMPIONS ,FRANK L. KING OLYMPIC HALL OF CHAMPIONS ,10,0.002091613
ADAMS BL & ELLENDALE PL ,ADAMS BL & ELLENDALE PL ,9,0.001882451
ADAMS BL & FIGUEROA ST ,ADAMS BL & FIGUEROA ST ,9,0.001882451
SOTO STREET BUILDING ,SOTO STREET BUILDING ,9,0.001882451
UNIVERSITY RESIDENCE HALL ,UNIVERSITY RESIDENCE HALL ,9,0.001882451
WALTON AV ,WALTON AV ,9,0.001882451
ADAMS BL & MENLO AV ,ADAMS BL & MENLO AV ,9,0.001882451
PARKING STRUCTURE B ,PARKING STRUCTURE B ,9,0.001882451
28TH ST & UNIVERSITY AV ,28TH ST & UNIVERSITY AV ,9,0.001882451
32ND ST & FIGUEROA ST ,32ND ST & FIGUEROA ST ,9,0.001882451
TAU KAPPA EPSILON ,TAU KAPPA EPSILON ,9,0.001882451
UYTENGSU AQUATICS CENTER ,UYTENGSU AQUATICS CENTER ,9,0.001882451
VERNA & PETER DAUTERIVE HALL ,VERNA & PETER DAUTERIVE HALL ,9,0.001882451
30TH ST & ROYAL ST ,30TH ST & ROYAL ST ,9,0.001882451
TROYLAND APARTMENTS ,TROYLAND APARTMENTS ,9,0.001882451
CLUB ,CLUB ,9,0.001882451
DAVID X. MARKS RESIDENCE HALL ,DAVID X. MARKS RESIDENCE HALL ,9,0.001882451
PHI KAPPA PSI ,PHI KAPPA PSI ,8,0.00167329
37TH ST ,37TH ST ,8,0.00167329
JOHN STAUFFER SCIENCE LECTURE HALL ,JOHN STAUFFER SCIENCE LECTURE HALL ,8,0.00167329
ELAINE STEVELY HOFFMAN MEDICAL RESEARCH CENTER ,ELAINE STEVELY HOFFMAN MEDICAL RESEARCH CENTER ,8,0.00167329
ALPHA EPSILON PI ,ALPHA EPSILON PI ,8,0.00167329
THE MANSION ,THE MANSION ,8,0.00167329
EXPOSITION BL & TROUSDALE PKY ,EXPOSITION BL & TROUSDALE PKY ,8,0.00167329
CENTER FOR HEALTH PROFESSIONS ,CENTER FOR HEALTH PROFESSIONS ,8,0.00167329
HILLVIEW APARTMENTS ,HILLVIEW APARTMENTS ,8,0.00167329
GALEN ATHLETIC PAVILION ,GALEN ATHLETIC PAVILION ,8,0.00167329
SIGMA ALPHA MU ,SIGMA ALPHA MU ,8,0.00167329
30TH ST & HOOVER ST ,30TH ST & HOOVER ST ,8,0.00167329
UNIVERSITY RELIGIOUS CENTER ,UNIVERSITY RELIGIOUS CENTER ,8,0.00167329
CITY PARK ,CITY PARK ,8,0.00167329
