#TYPE System.Collections.DictionaryEntry
"Name","Key","Value"
"THEFT-PETTY Theft Petty-Plain ","THEFT-PETTY Theft Petty-Plain ","1242"
"SERVICE Illness Response ","SERVICE Illness Response ","633"
"SERVICE Injury Response ","SERVICE Injury Response ","441"
"PROPERTY Recovered Property Without a Crime ","PROPERTY Recovered Property Without a Crime ","289"
"SERVICE Suspicious Circumstances ","SERVICE Suspicious Circumstances ","283"
"PROPERTY Lost/Missing Property ","PROPERTY Lost/Missing Property ","257"
"TRAFFIC Traffic Collision Without Injuries ","TRAFFIC Traffic Collision Without Injuries ","254"
"PROPERTY Damaged Property ","PROPERTY Damaged Property ","219"
"ALCOHOL Alcohol/Drug Overdose ","ALCOHOL Alcohol/Drug Overdose ","214"
"THEFT-GRAND Theft Grand-Plain ","THEFT-GRAND Theft Grand-Plain ","148"
"DISTURBANCE Disturbing The Peace ","DISTURBANCE Disturbing The Peace ","145"
"ALARM RESPONSE Environmental Alarm ","ALARM RESPONSE Environmental Alarm ","122"
"BURGLARY-Motor Vehicle Burglary-Motor Vehicle ","BURGLARY-Motor Vehicle Burglary-Motor Vehicle ","108"
"VANDALISM Vandalism-Misdemeanor ","VANDALISM Vandalism-Misdemeanor ","100"
"BATTERY Battery ","BATTERY Battery ","95"
"WARRANT Warrant Arrest ","WARRANT Warrant Arrest ","95"
"SERVICE Commitment To Mental Health For 72 Hrs ","SERVICE Commitment To Mental Health For 72 Hrs ","93"
"THEFT-MOTOR VEHICLE Theft from Motor Vehicle ","THEFT-MOTOR VEHICLE Theft from Motor Vehicle ","84"
"VEHICLE CODE Hit & Run - Misdemeanor ","VEHICLE CODE Hit & Run - Misdemeanor ","79"
"TRESPASS Trespassing ","TRESPASS Trespassing ","76"
"ALCOHOL Drunk In Public ","ALCOHOL Drunk In Public ","71"
"PROPERTY Recovered/Impounded Bicycle ","PROPERTY Recovered/Impounded Bicycle ","69"
"SERVICE Welfare Check ","SERVICE Welfare Check ","68"
"FIRE Alarm Malfunction ","FIRE Alarm Malfunction ","67"
"TRAFFIC Traffic Collision-Bicycle ","TRAFFIC Traffic Collision-Bicycle ","52"
"IDENTITY THEFT Identity Theft ","IDENTITY THEFT Identity Theft ","47"
"TRAFFIC Traffic Collision With Injuries ","TRAFFIC Traffic Collision With Injuries ","45"
"FIRE Alarm Smoke ","FIRE Alarm Smoke ","41"
"VANDALISM Vandalism-Felony ","VANDALISM Vandalism-Felony ","41"
"TRAFFIC Altered Parking Permit ","TRAFFIC Altered Parking Permit ","40"
"BURGLARY Burglary-Residential ","BURGLARY Burglary-Residential ","36"
"SEX OFFENSE Sexual Battery ","SEX OFFENSE Sexual Battery ","36"
"OBSCENE ACTIVITY Obscene, Annoying, Threatening Phone Calls ","OBSCENE ACTIVITY Obscene, Annoying, Threatening Phone Calls ","36"
"HARASSMENT Harassment ","HARASSMENT Harassment ","33"
"EH&S Water Leak ","EH&S Water Leak ","33"
"LA MUNICIPAL CODE Loud and Raucous Noise ","LA MUNICIPAL CODE Loud and Raucous Noise ","30"
"NARCOTICS Possession of a Controlled Substance ","NARCOTICS Possession of a Controlled Substance ","27"
"FRAUD Fraud-General ","FRAUD Fraud-General ","27"
"TRAFFIC Traffic Collision-Pedestrian ","TRAFFIC Traffic Collision-Pedestrian ","26"
"SERVICE Person Stuck In Elevator ","SERVICE Person Stuck In Elevator ","26"
"BURGLARY Burglary-Commercial ","BURGLARY Burglary-Commercial ","25"
"FIRE Alarm Accidental ","FIRE Alarm Accidental ","23"
"DISORDERLY CONDUCT Prowling, Loitering ","DISORDERLY CONDUCT Prowling, Loitering ","23"
"EH&S Smell of Smoke, Odor, Non-Fire ","EH&S Smell of Smoke, Odor, Non-Fire ","21"
