Key,Value
KECK HOSPITAL OF USC ,333
HEALTHCARE CENTER ,190
OUTSIDE USC AREA ,172
PARKING STRUCTURE A ,128
GENERAL WILLIAM LYON UNIVERSITY CENTER ,112
THE LORENZO APARTMENTS ,105
RONALD TUTOR CAMPUS CENTER ,99
ENTRANCE GATE ,96
UNIVERSITY GATEWAY APARTMENTS ,92
TROY HALL ,92
THOMAS & DOROTHY LEAVEY LIBRARY ,86
ROGER AND MICHELE DEDEAUX ENGEMANN STUDENT HEALTH CENTER ,82
INTERNATIONALLY THEMED RESIDENTIAL COLLEGE ,80
PARKING STRUCTURE D ,74
UNIVERSITY PARKING CENTER ,71
MARK TAPER HALL OF HUMANITIES ,70
ELLENDALE PL ,68
29TH ST ,66
30TH ST ,65
ELISABETH VON KLEINSMID MEMORIAL RESIDENCE HALL ,64
KENNETH NORRIS JR. CANCER HOSPITAL RESEARCH INSTIT ,62
MENLO AV ,60
EXPOSITION BLVD. PARKING STRUCTURE ,60
PARKSIDE RESIDENTIAL BUILDING ,59
CENTURY APARTMENTS ,57
CARDINAL GARDENS ,56
PERTUSATI UNIVERSITY BOOKSTORE ,56
SEELEY G. MUDD BUILDING ,54
PARKING STRUCTURE C ,49
VON KLEINSMID CENTER FOR INTERNATIONAL & PUBLIC AF ,46
PHYSICAL EDUCATION BUILDING ,46
EILEEN & KENNETH T. NORRIS DENTAL SCIENCE CENTER ,44
UPC PUBLIC SAFETY OFFICE ,41
CECELE & MICHAEL BIRNKRANT RESIDENCE HALL ,41
GRACE FORD SALVATORI HALL OF LETTERS ARTS & SCIENC ,41
KECK HOSPITAL PARKING BLDG. ,40
WEBB TOWER ,39
DEAN BARTLETT CROMWELL FIELD ,39
PORTLAND ST ,38
MARIANNE & J.DOUGLAS PARDEE TOWER ,36
DAVID X. MARKS TOWER ,33
TROJAN RESIDENCE HALL ,32
ANNENBERG HOUSE ,32
ORCHARD AV ,32
PARKSIDE APARTMENTS I ,30
RADISSON MIDCITY HOTEL ,30
GALEN EVENT CENTER ,30
KAPRIELIAN HALL ,29
H. LESLIE HOFFMAN HALL OF BUSINESS ADMINISTRATION ,29
JOHN MCKAY CENTER ,28
37TH PL ,28
EDWARD L. DOHENY JR. MEMORIAL LIBRARY ,27
36TH PL ,27
28TH ST ,27
MAY ORMEROD HARRIS HALL QUINN WING & FISHER GALLER ,27
CAROL LITTLE BUILDING ,26
SCARFF ST ,26
ADAMS BL ,26
SCHOOL OF CINEMATIC ARTS ,26
ANNENBERG SCHOOL FOR COMMUNICATION ,25
FLUOR TOWER ,25
WAITE PHILLIPS HALL OF EDUCATION ,24
RALPHS SUPERMARKET ,24
RAY & NADINE WATT HALL OF ARCHITECTURE & FINE ARTS ,24
CENTER OF CAMPUS ,24
27TH ST ,24
GWYNN WILSON STUDENT UNION ,24
23RD ST ,23
GEORGE FINLEY BOVARD ADMINISTRATION BUILDING ,22
JAMES H. ZUMBERGE HALL OF SCIENCE ,22
ELVON & MABEL MUSICK LAW BUILDING CENTER ,22
LAMBDA CHI ALPHA ,22
RONALD TUTOR HALL OF ENGINEERING ,22
SEELEY WINTERSMITH MUDD MEMORIAL HALL OF PHILOSOPH ,21
OLIN HALL OF ENGINEERING ,20
CENTENNIAL APARTMENTS ,20
BRITTINGHAM INTRAMURAL FIELD ,20
MAY ORMEROD HARRIS RESIDENCE HALL ,20
SIERRA APARTMENTS ,19
COLLEGE RESIDENCE HALL ,19
JILL & FRANK FERTITTA HALL ,18
JEFFERSON BL & FIGUEROA ST ,18
30TH ST & FIGUEROA ST ,18
SOTO STREET BUILDING TWO ,18
JEFFERSON BL & VERMONT AV ,17
MCCARTHY QUAD ,17
SIGMA NU ,17
JEFFERSON BL & MCCLINTOCK AV ,16
DELTA CHI ,16
28TH ST & UNIVERSITY AV ,16
VERNA & PETER DAUTERIVE HALL ,16
TUSCANY APARTMENTS ,16
30TH ST & UNIVERSITY AV ,15
CHEZ RONNEE ,15
PI KAPPA ALPHA ,15
ALPHA EPSILON PI ,15
MCDONALDS ,15
36TH PL & VERMONT AV ,15
USC UNIVERSITY HOSPITAL NORRIS TOWER ,15
NOT GIVEN ,15
ICON PLAZA ,15
PARKING STRUCTURE B ,15
WEST 27TH PLACE APARTMENTS ,14
CHARLOTTE S. & DAVRE R. DAVIDSON CONTINUING EDUCAT ,14
28TH ST & FIGUEROA ST ,14
FRANK L. KING OLYMPIC HALL OF CHAMPIONS ,14
ROBERT ZEMECKIS CENTER ,14
32ND ST & FIGUEROA ST ,14
DOWNEY WY & MCCLINTOCK AV ,14
JEFFERSON BL & HOOVER ST ,14
ALLAN HANCOCK FOUNDATION ,13
FOUNDERS APARTMENTS ,13
JANE HOFFMAN POPOVICH & J. KRISTOFFER POPOVICH HAL ,13
30TH ST & HOOVER ST ,13
FRANK R. SEAVER SCIENCE CENTER ,13
STARBUCKS ,13
THE ROW AREA ,13
THE LAB ,13
TAU KAPPA EPSILON ,13
EXPOSITION BL & TROUSDALE PKY ,13
UNIVERSITY GARDENS ,13
37TH ST ,12
UNIVERSITY RESIDENCE HALL ,12
WALLIS ANNENBERG HALL ,12
JEFFERSON BL & HOPE ST ,12
ADAMS BL & ELLENDALE PL ,12
37TH DR ,12
UNIVERSITY RELIGIOUS CENTER ,12
RALPH AND GOLDY LEWIS HALL ,12
PHI KAPPA PSI ,12
30TH ST & ORCHARD ST ,12
PARKING STRUCTURE ONE ,12
DAVID X. MARKS RESIDENCE HALL ,11
UYTENGSU AQUATICS CENTER ,11
WALTON AV ,11
LOCATION NOT GIVEN ,11
CLUB ,11
MONTGOMERY ROSS FISHER BUILDING SCHOOL OF SOCIAL W ,11
ALBERT S. RAUBENHEIMER MUSIC FACULTY MEMORIAL BUIL ,11
29TH ST & ORCHARD AV ,11
34TH ST & TROUSDALE PKY ,11
30TH ST & VERMONT AV ,11
SOTO STREET BUILDING ,11
HEALTH SCIENCES CAMPUS PARKING STRUCTURE ,11
ELAINE STEVELY HOFFMAN MEDICAL RESEARCH CENTER ,11
