#TYPE System.Collections.DictionaryEntry
"Name","Key","Value"
"A student was transported to SHC for medical treatment after complaining of severe stomach pain and vomiting.","A student was transported to SHC for medical treatment after complaining of severe stomach pain and vomiting.","1"
"ADMINISTRATIVE Camera Observation","ADMINISTRATIVE Camera Observation","1"
"ADMINISTRATIVE Report Voided","ADMINISTRATIVE Report Voided","15"
"ADMINISTRATIVE Violence in the Work Place","ADMINISTRATIVE Violence in the Work Place","1"
"ALARM RESPONSE Environmental Alarm","ALARM RESPONSE Environmental Alarm","99"
"ALARM RESPONSE Gas Alarm","ALARM RESPONSE Gas Alarm","3"
"ALARM RESPONSE Intrusion Alarm-Door Forced Open","ALARM RESPONSE Intrusion Alarm-Door Forced Open","1"
"ALARM RESPONSE RoofAlarm","ALARM RESPONSE RoofAlarm","1"
"ALCOHOL Alcohol/Drug Overdose","ALCOHOL Alcohol/Drug Overdose","154"
"ALCOHOL Drinking In Public","ALCOHOL Drinking In Public","2"
"ALCOHOL Drunk In Public","ALCOHOL Drunk In Public","40"
"ALCOHOL Drunkln Public","ALCOHOL Drunkln Public","1"
"ALCOHOL Unlawful Possession of Alcohol","ALCOHOL Unlawful Possession of Alcohol","3"
"ARSON Arson-Attempt-Commercial","ARSON Arson-Attempt-Commercial","1"
"ARSON Arson-Attempt-Residential","ARSON Arson-Attempt-Residential","1"
"ARSON Arson-Residential","ARSON Arson-Residential","3"
"ASSAULT Assault-Knife or Cutting Instrument","ASSAULT Assault-Knife or Cutting Instrument","6"
"ASSAULT Assault-Other Dangerous Weapon","ASSAULT Assault-Other Dangerous Weapon","8"
"ASSAULT-OTHER Assault-Other Simple, Not Aggravated","ASSAULT-OTHER Assault-Other Simple, Not Aggravated","1"
"BATTERY Battery","BATTERY Battery","62"
"BATTERY Battery W/ Serious Injury","BATTERY Battery W/ Serious Injury","2"
"BURGLARY Burglary-Attempted-Commercial","BURGLARY Burglary-Attempted-Commercial","7"
"BURGLARY Burglary-Commercial","BURGLARY Burglary-Commercial","23"
"BURGLARY Burglary-Hot Prowl","BURGLARY Burglary-Hot Prowl","11"
"BURGLARY Burglary-Residential","BURGLARY Burglary-Residential","26"
"BURGLARY-0TH ER Possession of Burglary Tools","BURGLARY-0TH ER Possession of Burglary Tools","1"
"BURGLARY-MOTOR VEHICLE Burglary-Motor Vehicle","BURGLARY-MOTOR VEHICLE Burglary-Motor Vehicle","50"
"BURGLARY-MOTORVEHICLE Burglary-MotorVehicIe","BURGLARY-MOTORVEHICLE Burglary-MotorVehicIe","4"
"BURGLARY-MOTORVEHICLE Burglary-MotorVehicle","BURGLARY-MOTORVEHICLE Burglary-MotorVehicle","9"
"BURGLARY-OTHER Possession of Burglary Tools","BURGLARY-OTHER Possession of Burglary Tools","7"
"CHILD NEGLECT Contributing to Delinquincy","CHILD NEGLECT Contributing to Delinquincy","1"
"CHILD NEGLECT Juvenile Truancy/Curfew Violation","CHILD NEGLECT Juvenile Truancy/Curfew Violation","2"
"CRIMINAL THREATS Criminal Threats","CRIMINAL THREATS Criminal Threats","12"
"DEATH Death by Non-Criminal Cause","DEATH Death by Non-Criminal Cause","1"
"DEATH Death by Undetermined Cause","DEATH Death by Undetermined Cause","2"
"DISORDERLY CONDUCT Peeping Tom","DISORDERLY CONDUCT Peeping Tom","5"
"DISORDERLY CONDUCT Prowling, Loitering","DISORDERLY CONDUCT Prowling, Loitering","15"
"DISTURBANCE Disturbing The Peace","DISTURBANCE Disturbing The Peace","105"
"DOMESTIC VIOLENCE Dating Violence","DOMESTIC VIOLENCE Dating Violence","2"
"DOMESTIC VIOLENCE V\?llfull Infliction of Corporal Injury","DOMESTIC VIOLENCE V\?llfull Infliction of Corporal Injury","6"
"EH&S Gas Leak","EH&S Gas Leak","5"
"EH&S Hazardous Materials","EH&S Hazardous Materials","5"
"EH&S Slip, Trip & Fall Safety Hazard","EH&S Slip, Trip & Fall Safety Hazard","3"
"EH&S Smell of Smoke, Odor, Non-Fire","EH&S Smell of Smoke, Odor, Non-Fire","15"
"EH&S Water Leak","EH&S Water Leak","24"
"EXTORTION Extortion","EXTORTION Extortion","7"
"FIRE Alarm Accidental","FIRE Alarm Accidental","19"
"FIRE Alarm Activation","FIRE Alarm Activation","18"
"FIRE Alarm Malfunction","FIRE Alarm Malfunction","49"
"FIRE Alarm Malicious","FIRE Alarm Malicious","7"
"FIRE Alarm Smoke","FIRE Alarm Smoke","31"
"FIRE Fire-Commercial","FIRE Fire-Commercial","5"
"FIRE Fire-General","FIRE Fire-General","2"
"FIRE Fire-Residential","FIRE Fire-Residential","7"
"FIRE Fire-Trash","FIRE Fire-Trash","1"
"FIRE Fire-Vehicle","FIRE Fire-Vehicle","1"
"FRAUD Fraud-General","FRAUD Fraud-General","19"
"HARASSMENT Harassment","HARASSMENT Harassment","23"
